model,n_features,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,holdout_pr_auc,holdout_pr_auc_lift,holdout_roc_auc,holdout_precision@1%,holdout_recall@1%,holdout_f1@1%,holdout_f1_oracle,holdout_brier,fit_seconds
linear,508,0.4152363742260464,0.046313227499921596,0.8532599971816129,0.19409010354079967,5.640648117371252,0.8356054733295368,0.11908783783783784,0.03469488188976378,0.05373475609756097,0.3293298911213379,0.19985967874526978,77.54859786599991
linear+unsup,637,0.4137213044276005,0.048836822621943894,0.8531568312356559,0.19067165035758019,5.541301004043572,0.8339330696233559,0.12098138747884941,0.03518700787401575,0.05451772779260389,0.32290615539858725,0.1981363743543625,101.48408875800033
linear+compact,298,0.41612584218820003,0.036044164921801715,0.8582531763540959,0.18409179282217716,5.350077132539788,0.8386785065361567,0.05345911949685535,0.01673228346456693,0.025487256371814097,0.3146734520780322,0.2059975415468216,54.175186534000204
gbm,508,0.6341468068995146,0.03452989812521332,0.9095681705376932,0.5341909734510394,15.524662276662243,0.8912972069662574,0.8781725888324873,0.25541338582677164,0.39573008006099886,0.5464382326420198,0.022622513832243524,337.709359599
gbm+unsup,637,0.6385570453488756,0.03519526694709359,0.9107668899322523,0.5354321282358705,15.560732726791878,0.8898551307693923,0.8857868020304569,0.2576279527559055,0.3991612657262676,0.5526617057813396,0.022398297327566173,423.6364336279985
gbm+compact,298,0.6373757270273,0.034654572269358176,0.9102168314617904,0.534966571891091,15.547202724634097,0.8876170091623706,0.8849407783417935,0.2573818897637795,0.39878002287457104,0.5521865889212828,0.022437296867466316,240.56346497199957
nn,508,0.5093039331249549,0.048070377775231043,0.8729107390107884,0.44169739514035444,12.836613175501226,0.8441509052780983,0.8206429780033841,0.23868110236220472,0.36980556614563476,0.4542687345992173,0.08698292076587677,179.28077814799872
nn+unsup,637,0.5106961458040112,0.043468066579384616,0.875729715936059,0.4165254661906215,12.10506637815992,0.8488714638164935,0.7698815566835872,0.22391732283464566,0.3469309950438429,0.4239247311827956,0.07694296538829803,190.30023466499915
