epoch,train_loss,valid_loss,valid_pr_auc
0,0.8722896303723806,0.8607462644577026,0.48943139468538627
1,0.7471528876397079,0.8287700414657593,0.4739255046271353
2,0.6815594542083694,0.8169102668762207,0.4774802760411115
3,0.6350664994762552,0.8287841081619263,0.49359794464941925
4,0.5905838820889333,0.8307324051856995,0.5177231040187374
5,0.5496880871120756,0.8626329898834229,0.5171305843722339
6,0.518722789897932,0.8381571173667908,0.535308239840433
7,0.48683079810624275,0.8782482743263245,0.5241150471636065
8,0.4593763655266493,0.9179416298866272,0.5355558088622256
9,0.439413321281544,1.0280091762542725,0.5126284542289297
10,0.4116290590561637,1.0375473499298096,0.5364766589873492
11,0.39664202164903756,1.2315069437026978,0.5365552668807942
12,0.37548038056016503,1.0955984592437744,0.5315966187921177
13,0.36475149023636316,1.1428080797195435,0.5359903608798311
14,0.34989761292059723,1.382649302482605,0.5358191012789066
15,0.33299186983696005,1.3470079898834229,0.5270427157377499
16,0.32185442802033054,1.272000789642334,0.5284484051571557
