config,best_epoch,best_valid_pr_auc,final_valid_pr_auc,final_train_loss,final_valid_loss,min_valid_loss,pr_auc_decay_after_best
dropout 0.3 (used),24,0.5802976781046822,0.5774815720282442,0.2093847672501317,2.0693492889404297,0.785183310508728,0.0028161060764380075
dropout 0.5 + wd 1e-3,28,0.5711888669829422,0.5684912863510024,0.3133879437132509,1.5956729650497437,0.7808922529220581,0.002697580631939811
lr=0.0001,26,0.5615215718009757,0.5500526108067211,0.42574494576292105,0.9204633831977844,0.7759020328521729,0.011468960994254651
lr=0.001,24,0.5802976781046822,0.5774815720282442,0.2093847672501317,2.0693492889404297,0.785183310508728,0.0028161060764380075
lr=0.003,22,0.5738249812281913,0.5642484574396928,0.1603331255007615,3.2193102836608887,0.8202458024024963,0.009576523788498492
no regularisation,19,0.5593237841025008,0.530891488832076,0.05249775326160024,2.8621349334716797,0.8645565509796143,0.02843229527042479
"width=(256, 128)",24,0.5802976781046822,0.5774815720282442,0.2093847672501317,2.0693492889404297,0.785183310508728,0.0028161060764380075
"width=(512, 256)",17,0.5794149271611403,0.5647487209050075,0.16547340069296976,2.3529624938964844,0.8027986288070679,0.014666206256132797
"width=(64, 32)",13,0.5584298514865934,0.5469832402742604,0.34572412618290693,1.5260467529296875,0.7911361455917358,0.011446611212333035
