k,mean_ari,min_ari,silhouette,inertia
4,0.9911805088624174,0.9823846646379385,0.4565224051475525,15130682.0
6,0.9448841303913044,0.8690732046591327,0.476936012506485,13477752.0
8,0.5599439602473131,0.28236094600240025,0.4772483706474304,12326076.0
10,0.9714590155435301,0.9503683095254631,0.13545770943164825,11384395.0
12,0.9562623077665515,0.927969731066112,0.16225364804267883,10519227.0
16,0.8119826219130143,0.6453196504750164,0.17716914415359497,9605743.0
