epoch,train_loss,valid_loss,valid_pr_auc
0,0.8820944803470046,0.8706867098808289,0.48258944413596877
1,0.746519891092509,0.8264102935791016,0.512674010397726
2,0.6817264103580084,0.8279369473457336,0.526067285913327
3,0.6256153570346387,0.8308901190757751,0.5306132496082532
4,0.5790900273048721,0.8287476897239685,0.5281318158202333
5,0.5365994609451856,0.8740691542625427,0.5389875759048653
6,0.5061223318800286,0.8833293914794922,0.5478591411734105
7,0.47842286843444165,0.935865044593811,0.5443722523747855
8,0.4427358567785965,1.063591480255127,0.5318096052887594
9,0.41730478776576385,1.0004253387451172,0.547800425179055
10,0.3930448200967818,1.1071009635925293,0.5342476320037077
11,0.3779297887725075,1.1669378280639648,0.5433115018330852
