epoch,train_loss,valid_loss,valid_pr_auc,config,best_epoch
0,0.833276379937305,0.8645565509796143,0.48096883423669756,no regularisation,19
1,0.6727757955782984,0.9189615845680237,0.45152331742280566,no regularisation,19
2,0.5900726069312022,0.9254547357559204,0.47876531219277674,no regularisation,19
3,0.5124198034886928,1.0467792749404907,0.46097671239984217,no regularisation,19
4,0.45459055643347834,0.9740043878555298,0.4861819419542237,no regularisation,19
5,0.39007729119715345,0.945458173751831,0.5046229484617308,no regularisation,19
6,0.3471237038763871,1.337350845336914,0.48143844425184157,no regularisation,19
7,0.319380396501042,1.2302885055541992,0.49216108073573234,no regularisation,19
8,0.26767120463697675,1.5292032957077026,0.4922426041314359,no regularisation,19
9,0.23696799311297437,1.3708256483078003,0.45338786281693255,no regularisation,19
10,0.21394955186954526,1.5440526008605957,0.509320941536595,no regularisation,19
11,0.1942883203946344,1.9762507677078247,0.5236166742898575,no regularisation,19
12,0.16686296312522678,2.587308168411255,0.4963673933586083,no regularisation,19
13,0.15204275935169753,2.0066020488739014,0.5258816524612719,no regularisation,19
14,0.13296471275795888,2.9564297199249268,0.5300846863986324,no regularisation,19
15,0.1235909816013083,2.2363462448120117,0.5278176600259786,no regularisation,19
16,0.10839952804831798,2.1871337890625,0.5556188338232378,no regularisation,19
17,0.09566017609750978,2.371741533279419,0.5487326510729249,no regularisation,19
18,0.09905368598783329,2.4413084983825684,0.5313081671539638,no regularisation,19
19,0.10043306306729799,2.7430312633514404,0.5593237841025008,no regularisation,19
20,0.09911927674541479,2.6464812755584717,0.5450917493156181,no regularisation,19
21,0.09031554129124239,2.48146390914917,0.5280452922395471,no regularisation,19
22,0.07577660412951011,2.770271062850952,0.5420609716800102,no regularisation,19
23,0.06717443773383355,3.1771352291107178,0.5416254131080733,no regularisation,19
24,0.04981218556928132,3.1987102031707764,0.5506051248315593,no regularisation,19
25,0.05551780166742135,3.066150665283203,0.5450307144157278,no regularisation,19
26,0.04514711854243817,4.139402389526367,0.5502612493952196,no regularisation,19
27,0.0445266365528512,3.7391772270202637,0.5391994180436365,no regularisation,19
28,0.05430174080903679,4.158351898193359,0.5373113146295379,no regularisation,19
29,0.05249775326160024,2.8621349334716797,0.530891488832076,no regularisation,19
0,0.8808208480573092,0.8720338940620422,0.49070913066904864,dropout 0.3 (used),24
1,0.7443443435524364,0.842499315738678,0.5060853197209879,dropout 0.3 (used),24
2,0.68454355965918,0.8056187629699707,0.5280328129698335,dropout 0.3 (used),24
3,0.633726422019044,0.785183310508728,0.5362885720360937,dropout 0.3 (used),24
4,0.5874196711964915,0.8155823945999146,0.5402126499657532,dropout 0.3 (used),24
5,0.5455360117588774,0.8813202977180481,0.5301832917439274,dropout 0.3 (used),24
6,0.5152055251963652,0.9042397737503052,0.5487840583319356,dropout 0.3 (used),24
7,0.48647865576127636,0.9082626104354858,0.5625964608713934,dropout 0.3 (used),24
8,0.4540029725184269,0.913330614566803,0.5567741038411993,dropout 0.3 (used),24
9,0.43150311854882856,1.050938606262207,0.5590769808013374,dropout 0.3 (used),24
10,0.41704201128742413,1.0601383447647095,0.5655612144407546,dropout 0.3 (used),24
11,0.39128933381438274,1.0947881937026978,0.5596325260890025,dropout 0.3 (used),24
12,0.3706368588248861,1.1338222026824951,0.5571939045954601,dropout 0.3 (used),24
13,0.36177853495037765,1.0675575733184814,0.5553870019469339,dropout 0.3 (used),24
14,0.3484639019850324,1.2344661951065063,0.5605891680240896,dropout 0.3 (used),24
15,0.34222378709266266,1.5275907516479492,0.5464738855228902,dropout 0.3 (used),24
16,0.3207413745379013,1.362379789352417,0.5597910627811951,dropout 0.3 (used),24
17,0.30441493643654177,1.3471571207046509,0.565701944884404,dropout 0.3 (used),24
18,0.296808824667201,1.4077128171920776,0.5639666377836373,dropout 0.3 (used),24
19,0.29143782439012383,1.3063846826553345,0.5674311554467764,dropout 0.3 (used),24
20,0.28309515364106597,1.3718931674957275,0.5572027169683177,dropout 0.3 (used),24
21,0.27564807509302197,1.637321949005127,0.5739410143361675,dropout 0.3 (used),24
22,0.2563241096023313,1.5532281398773193,0.5790068768885326,dropout 0.3 (used),24
23,0.25661244093692015,1.6329702138900757,0.5762921954302841,dropout 0.3 (used),24
24,0.24546310754673356,1.7786071300506592,0.5802976781046822,dropout 0.3 (used),24
25,0.238000422550738,1.848443627357483,0.5686430984254861,dropout 0.3 (used),24
26,0.2359182793635639,1.7478712797164917,0.5697567780243538,dropout 0.3 (used),24
27,0.2256834023491654,1.702626347541809,0.5717528857568058,dropout 0.3 (used),24
28,0.22074873877907475,1.7318845987319946,0.564482223176759,dropout 0.3 (used),24
29,0.2093847672501317,2.0693492889404297,0.5774815720282442,dropout 0.3 (used),24
0,0.922827924358337,0.8858441114425659,0.48391588097390165,dropout 0.5 + wd 1e-3,28
1,0.7958529284185261,0.8555254340171814,0.49666285652989445,dropout 0.5 + wd 1e-3,28
2,0.7479420847200979,0.805357038974762,0.5169762542129284,dropout 0.5 + wd 1e-3,28
3,0.7033942440661609,0.7872349619865417,0.5302772070249733,dropout 0.5 + wd 1e-3,28
4,0.6708838157572853,0.7986448407173157,0.5387845455064955,dropout 0.5 + wd 1e-3,28
5,0.6373504431011396,0.7808922529220581,0.5442308243348469,dropout 0.5 + wd 1e-3,28
6,0.6031763906277752,0.8007163405418396,0.5497714746069803,dropout 0.5 + wd 1e-3,28
7,0.5810741775558679,0.7917861342430115,0.5585664619824974,dropout 0.5 + wd 1e-3,28
8,0.5548451476470649,0.7992115616798401,0.5589099240202076,dropout 0.5 + wd 1e-3,28
9,0.528913241060752,0.8783368468284607,0.5570594498172335,dropout 0.5 + wd 1e-3,28
10,0.5134036259583915,0.8707727789878845,0.5638287442933743,dropout 0.5 + wd 1e-3,28
11,0.4897624941215128,0.8846865892410278,0.556185517622065,dropout 0.5 + wd 1e-3,28
12,0.4725607015353786,1.0499134063720703,0.5454530596256202,dropout 0.5 + wd 1e-3,28
13,0.46053304322077887,0.9541755318641663,0.5539693899346517,dropout 0.5 + wd 1e-3,28
14,0.44682398115384614,1.0364571809768677,0.5660746256586925,dropout 0.5 + wd 1e-3,28
15,0.4265636490915388,1.0440764427185059,0.5607323411976215,dropout 0.5 + wd 1e-3,28
16,0.42507092055795653,1.1568219661712646,0.5609728681614883,dropout 0.5 + wd 1e-3,28
17,0.4099137391564534,1.098894715309143,0.567139545751202,dropout 0.5 + wd 1e-3,28
18,0.4014610980341487,1.0599900484085083,0.5563755992159619,dropout 0.5 + wd 1e-3,28
19,0.39257380363585065,1.147442102432251,0.5630721196939862,dropout 0.5 + wd 1e-3,28
20,0.3778600746801283,1.0657340288162231,0.5701916057130296,dropout 0.5 + wd 1e-3,28
21,0.37903447994294565,1.182708501815796,0.5696858290174766,dropout 0.5 + wd 1e-3,28
22,0.35800244605662285,1.294865369796753,0.5630792896702067,dropout 0.5 + wd 1e-3,28
23,0.3585963047384895,1.2362864017486572,0.569728472887413,dropout 0.5 + wd 1e-3,28
24,0.34141277715831675,1.4606119394302368,0.5678730209669772,dropout 0.5 + wd 1e-3,28
25,0.3355825754828474,1.3686622381210327,0.5650758072065623,dropout 0.5 + wd 1e-3,28
26,0.3298201566339681,1.2946176528930664,0.5696652644135172,dropout 0.5 + wd 1e-3,28
