epoch,train_loss,valid_loss,valid_pr_auc
0,0.8858045435664272,0.8600375056266785,0.5010281809011664
1,0.7451643582153442,0.8175286054611206,0.5126862340643521
2,0.6846187212245819,0.8259340524673462,0.5062953599696163
3,0.6311728337934732,0.8130906224250793,0.5272774369165434
4,0.5862052157405137,0.9493680000305176,0.5293426925480419
5,0.5437651801980625,0.8901832103729248,0.5267347941118761
6,0.5170912145062853,0.9501254558563232,0.5331468642261777
7,0.47600410066854776,0.953070342540741,0.5326872023612229
8,0.4537989756238738,1.0105443000793457,0.5237978813546021
9,0.4269098126788678,1.08085036277771,0.5336779295216506
10,0.4030277965087457,1.1989909410476685,0.540950321406488
11,0.38948927840486,1.1333147287368774,0.5336580690246694
12,0.3636454110762176,1.409449815750122,0.5377984585131995
13,0.3551904631193437,1.3119343519210815,0.5439702209904366
14,0.3362766138968178,1.3547890186309814,0.5492591267123247
15,0.3247937159521766,1.6260627508163452,0.5433958689994804
16,0.3078315073713389,1.4560917615890503,0.5427333385367291
17,0.2943496728253143,1.6072560548782349,0.5459628066955635
18,0.29386676797340394,1.593647837638855,0.5345832780370707
19,0.2701379751554052,1.7145278453826904,0.5433066527597161
